Feature_Name,Score
precip2014-11-30-2014-12-07,2.6569444400859785
precip2019-05-05-2019-05-12,2.6476497918567703
XY_elevation,2.647512424433924
elevation,2.62912871096282
precip2015-03-08-2015-03-15,2.56661160217488
precip2019-02-24-2019-03-03,2.539456430817997
precip2014-11-23-2014-11-30,2.4902798234166874
precip2019-02-10-2019-02-17,2.3797514151208237
precip2019-04-21-2019-04-28,2.3698529179639785
precip2019-03-24-2019-03-31,2.369403109429219
precip2019-03-31-2019-04-07,2.367470228200459
precip2014-11-16-2014-11-23,2.3465434775613168
total_precip,2.336109165928014
precip2019-05-12-2019-05-19,2.3288785456060075
precip2019-04-28-2019-05-05,2.2956124721368476
ave_precip_2019,2.139952887274969
annual_precip_2019,2.1399528872638887
precip2019-03-17-2019-03-24,1.6486017879160928
Y,1.5461818061729924
precip2015-01-18-2015-01-25,1.5148835221912247
X/Y,1.4598822772633462
precip2015-03-01-2015-03-08,1.445614917399901
XY,1.4064629642078772
precip2015-01-11-2015-01-18,1.3938422948537394
ave_precip_2015,1.3783641121228385
annual_precip_2015,1.3783641120771357
precip2014-12-21-2014-12-28,1.3423394743321255
precip2015-02-15-2015-02-22,1.3290905061018734
precip2015-02-08-2015-02-15,1.2628042559732864
precip2019-01-20-2019-01-27,1.2598095117521975
precip2019-04-14-2019-04-21,1.0793230921694748
precip2014-12-07-2014-12-14,1.0727148656094405
X,1.0162852174361487
precip2015-01-25-2015-02-01,0.9559034489278178
precip2019-03-10-2019-03-17,0.9083862748232354
precip2015-02-01-2015-02-08,0.895526106811875
precip2015-02-22-2015-03-01,0.8933547009858451
precip2019-02-17-2019-02-24,0.8926162035923905
precip2014-12-28-2015-01-04,0.8777918453166265
precip2015-01-04-2015-01-11,0.8770197985614245
precip2019-03-03-2019-03-10,0.7486545129723681
LC_Type1_mode,0.7486393157495638
precip2019-04-07-2019-04-14,0.6859147654464922
precip2019-01-27-2019-02-03,0.656560317214476
precip2019-02-03-2019-02-10,0.6497450062943413
precip2014-12-14-2014-12-21,0.6325693793040783
